Publication;ID;Species;PN Type;Branching Type;Glomerulus Innervation;Additional Innervation;Hemisphere;Driver;Trace Identifier
duerr2024;090;Dsec;adPN;u;DL2v;DC3;L;VT033008;BD_M124_LH_PN2_u_d
duerr2024;091;Dsec;adPN;m;md1;;L;VT033008;BD_M126_LH_PN1_m_d
duerr2024;092;Dsec;adPN;up;DM6;DM2_VM5d;R;VT033006;BD_M127_RH_PN1_up_d
duerr2024;093;Dsec;lPN;m;ml3;;R;VT033006;BD_M127_RH_PN2_m_l
duerr2024;094;Dsec;adPN;u;VL2a;;L;VT033006;BD_M127_LH_PN1_u_d
duerr2024;095;Dsec;lPN;m;ml2;;R;VT033006;BD_M128_RH_PN1_m_l
duerr2024;096;Dsec;adPN;u;DC1;;R;VT033006;BD_M128_RH_PN2_u_d
duerr2024;097;Dsec;adPN;u;VM5d;;R;VT033006;BD_M129_RH_PN1_u_d
duerr2024;098;Dsec;lPN;m;ml3;;R;VT033006;BD_M129_RH_PN2_m_l
duerr2024;099;Dsec;adPN;up;VA2;VM2_VM3;R;VT033006;BD_M129_RH_PN3_up_d
duerr2024;100;Dsec;lPN;m;ml2;;L;VT033006;BD_M129_LH_PN1_m_l
duerr2024;101;Dsec;adPN;up;VC3l;VM7d_DC4_VC3m;R;VT033006;BD_M130_RH_PN1_up_d
duerr2024;102;Dsec;lPN;m;ml1;;L;VT033006;BD_M130_LH_PN1_m_l
duerr2024;103;Dsec;adPN;m;md2;;L;VT033006;BD_M130_LH_PN2_m_d
duerr2024;104;Dsec;adPN;up;DM6;VM2_VM3_VM7v;L;VT033006;BD_M131_LH_PN1_up_d
duerr2024;105;Dsec;lPN;m;ml2;;L;VT033006;BD_M131_LH_PN2_m_l
duerr2024;106;Dsec;lPN;m;ml2;;R;VT033006;BD_M133_RH_PN1_m_l
duerr2024;107;Dsec;adPN;u;VL2a;;R;VT033006;BD_M142_RH_PN1_u_d
duerr2024;108;Dsec;adPN;m;md1;;L;VT033006;BD_M142_LH_PN1_m_d
duerr2024;109;Dsec;lPN;u;DM2;;L;VT033006;BD_M144_LH_PN1_u_l
duerr2024;110;Dsec;lPN;u;DA1;;L;VT033006;BD_M144_LH_PN2_u_l
duerr2024;111;Dsec;adPN;up;DM6;VM2_DM2;R;VT033006;BD_M147_RH_PN1_up_d
duerr2024;112;Dsec;adPN;m;md1;;L;VT033006;BD_M147_LH_PN1_m_d
duerr2024;113;Dsec;adPN;up;VM5d;DM6;R;VT033006;BD_M149_RH_PN1_up_d
duerr2024;114;Dsec;adPN;up;VM5d;VM7v_VC3l_VM3_VM2_DM6;L;VT033006;BD_M150_LH_PN1_up_d
duerr2024;115;Dsec;lPN;u;DM2;;L;VT033006;BD_M151_LH_PN1_u_l
duerr2024;116;Dsec;adPN;m;md1;;R;VT033006;BD_M152_RH_PN1_m_d
duerr2024;117;Dsec;adPN;up;DL1;;R;VT033006;BD_M152_RH_PN2_up_d
duerr2024;118;Dsec;adPN;up;VM7v;VM2_VM3;L;VT033006;BD_M153_LH_PN1_up_d
